Ticker,pos_then_up,pos_then_down,neg_then_up,neg_then_down,considered,total_earnings,sum_pct
CFG,7/42 = 16.67%,18/42 = 42.86%,10/42 = 23.81%,7/42 = 16.67%,42,45,100.01
MCD,17/86 = 19.77%,26/86 = 30.23%,22/86 = 25.58%,21/86 = 24.42%,86,88,100.0
DOW,5/25 = 20.00%,9/25 = 36.00%,6/25 = 24.00%,5/25 = 20.00%,25,26,100.0
AVY,23/82 = 28.05%,20/82 = 24.39%,21/82 = 25.61%,18/82 = 21.95%,82,85,100.0
FTNT,18/64 = 28.12%,19/64 = 29.69%,13/64 = 20.31%,14/64 = 21.88%,64,64,100.0
ALL,26/79 = 32.91%,22/79 = 27.85%,12/79 = 15.19%,19/79 = 24.05%,79,81,100.0
SYF,15/45 = 33.33%,10/45 = 22.22%,9/45 = 20.00%,11/45 = 24.44%,45,45,99.99
KVUE,1/9 = 11.11%,1/9 = 11.11%,3/9 = 33.33%,4/9 = 44.44%,9,10,99.99
MKTX,26/82 = 31.71%,20/82 = 24.39%,22/82 = 26.83%,14/82 = 17.07%,82,83,100.0
CAH,14/84 = 16.67%,24/84 = 28.57%,25/84 = 29.76%,21/84 = 25.00%,84,89,100.0
ES,18/78 = 23.08%,20/78 = 25.64%,23/78 = 29.49%,17/78 = 21.79%,78,84,100.0
TECH,17/83 = 20.48%,24/83 = 28.92%,16/83 = 19.28%,26/83 = 31.33%,83,86,100.01
EBAY,22/85 = 25.88%,20/85 = 23.53%,12/85 = 14.12%,31/85 = 36.47%,85,85,100.0
WAB,20/80 = 25.00%,26/80 = 32.50%,16/80 = 20.00%,18/80 = 22.50%,80,83,100.0
JPM,12/48 = 25.00%,16/48 = 33.33%,7/48 = 14.58%,13/48 = 27.08%,48,49,99.99
COO,19/83 = 22.89%,19/83 = 22.89%,26/83 = 31.33%,19/83 = 22.89%,83,84,100.0
LOW,19/76 = 25.00%,18/76 = 23.68%,18/76 = 23.68%,21/76 = 27.63%,76,85,99.99
TSCO,28/80 = 35.00%,21/80 = 26.25%,17/80 = 21.25%,14/80 = 17.50%,80,84,100.0
WDC,16/86 = 18.60%,25/86 = 29.07%,24/86 = 27.91%,21/86 = 24.42%,86,87,100.0
STT,26/86 = 30.23%,22/86 = 25.58%,19/86 = 22.09%,19/86 = 22.09%,86,88,99.99
ABBV,13/47 = 27.66%,11/47 = 23.40%,8/47 = 17.02%,15/47 = 31.91%,47,50,99.99
ORLY,20/77 = 25.97%,15/77 = 19.48%,21/77 = 27.27%,21/77 = 27.27%,77,78,99.99
NUE,26/82 = 31.71%,24/82 = 29.27%,14/82 = 17.07%,18/82 = 21.95%,82,84,100.0
BA,18/81 = 22.22%,26/81 = 32.10%,22/81 = 27.16%,15/81 = 18.52%,81,82,100.0
ROST,19/84 = 22.62%,28/84 = 33.33%,23/84 = 27.38%,14/84 = 16.67%,84,84,100.0
EMR,18/82 = 21.95%,27/82 = 32.93%,19/82 = 23.17%,18/82 = 21.95%,82,85,100.0
KEYS,11/44 = 25.00%,15/44 = 34.09%,11/44 = 25.00%,7/44 = 15.91%,44,44,100.0
GWW,25/80 = 31.25%,19/80 = 23.75%,15/80 = 18.75%,21/80 = 26.25%,80,82,100.0
SMCI,27/72 = 37.50%,17/72 = 23.61%,8/72 = 11.11%,20/72 = 27.78%,72,75,100.0
AXP,12/60 = 20.00%,9/60 = 15.00%,18/60 = 30.00%,21/60 = 35.00%,60,61,100.0
D,20/80 = 25.00%,24/80 = 30.00%,18/80 = 22.50%,18/80 = 22.50%,80,87,100.0
PGR,23/84 = 27.38%,24/84 = 28.57%,18/84 = 21.43%,19/84 = 22.62%,84,86,100.0
WFC,12/28 = 42.86%,4/28 = 14.29%,7/28 = 25.00%,5/28 = 17.86%,28,29,100.01
AIG,12/61 = 19.67%,17/61 = 27.87%,13/61 = 21.31%,19/61 = 31.15%,61,64,100.0
O,20/81 = 24.69%,22/81 = 27.16%,25/81 = 30.86%,14/81 = 17.28%,81,85,99.99
SYY,20/78 = 25.64%,17/78 = 21.79%,17/78 = 21.79%,24/78 = 30.77%,78,85,99.99
NVDA,30/87 = 34.48%,20/87 = 22.99%,14/87 = 16.09%,23/87 = 26.44%,87,90,100.0
UPS,22/79 = 27.85%,15/79 = 18.99%,19/79 = 24.05%,23/79 = 29.11%,79,83,100.0
MSTR,14/64 = 21.88%,11/64 = 17.19%,17/64 = 26.56%,22/64 = 34.38%,64,65,100.01
PANW,14/51 = 27.45%,16/51 = 31.37%,9/51 = 17.65%,12/51 = 23.53%,51,54,100.0
IPG,21/71 = 29.58%,16/71 = 22.54%,19/71 = 26.76%,15/71 = 21.13%,71,81,100.01
CTSH,28/83 = 33.73%,24/83 = 28.92%,12/83 = 14.46%,19/83 = 22.89%,83,86,100.0
AAPL,21/84 = 25.00%,31/84 = 36.90%,16/84 = 19.05%,16/84 = 19.05%,84,85,100.0
ERIE,16/79 = 20.25%,18/79 = 22.78%,21/79 = 26.58%,24/79 = 30.38%,79,84,99.99
VLO,18/79 = 22.78%,25/79 = 31.65%,14/79 = 17.72%,22/79 = 27.85%,79,84,100.0
HUM,20/78 = 25.64%,17/78 = 21.79%,21/78 = 26.92%,20/78 = 25.64%,78,82,99.99
FDS,20/79 = 25.32%,14/79 = 17.72%,22/79 = 27.85%,23/79 = 29.11%,79,84,100.0
LKQ,18/78 = 23.08%,25/78 = 32.05%,22/78 = 28.21%,13/78 = 16.67%,78,81,100.01
GM,17/58 = 29.31%,17/58 = 29.31%,12/58 = 20.69%,12/58 = 20.69%,58,60,100.0
TAP,17/86 = 19.77%,16/86 = 18.60%,25/86 = 29.07%,28/86 = 32.56%,86,89,100.0
SRE,22/81 = 27.16%,25/81 = 30.86%,21/81 = 25.93%,13/81 = 16.05%,81,86,100.0
AON,18/79 = 22.78%,18/79 = 22.78%,21/79 = 26.58%,22/79 = 27.85%,79,84,99.99
PH,21/82 = 25.61%,26/82 = 31.71%,20/82 = 24.39%,15/82 = 18.29%,82,84,100.0
VTRS,3/19 = 15.79%,4/19 = 21.05%,8/19 = 42.11%,4/19 = 21.05%,19,20,100.0
CMCSA,18/83 = 21.69%,22/83 = 26.51%,24/83 = 28.92%,19/83 = 22.89%,83,84,100.01
AXON,26/73 = 35.62%,20/73 = 27.40%,10/73 = 13.70%,17/73 = 23.29%,73,75,100.01
PSX,12/53 = 22.64%,9/53 = 16.98%,16/53 = 30.19%,16/53 = 30.19%,53,53,100.0
PNW,19/68 = 27.94%,17/68 = 25.00%,15/68 = 22.06%,17/68 = 25.00%,68,68,100.0
WMB,28/85 = 32.94%,20/85 = 23.53%,19/85 = 22.35%,18/85 = 21.18%,85,85,100.0
ETR,27/81 = 33.33%,16/81 = 19.75%,24/81 = 29.63%,14/81 = 17.28%,81,85,99.99
LMT,21/81 = 25.93%,35/81 = 43.21%,13/81 = 16.05%,12/81 = 14.81%,81,85,100.0
CME,17/82 = 20.73%,24/82 = 29.27%,20/82 = 24.39%,21/82 = 25.61%,82,89,100.0
SNPS,28/86 = 32.56%,28/86 = 32.56%,14/86 = 16.28%,16/86 = 18.60%,86,86,100.0
ETN,13/52 = 25.00%,15/52 = 28.85%,14/52 = 26.92%,10/52 = 19.23%,52,52,100.0
SBAC,19/83 = 22.89%,27/83 = 32.53%,24/83 = 28.92%,13/83 = 15.66%,83,86,100.0
FDX,18/84 = 21.43%,24/84 = 28.57%,22/84 = 26.19%,20/84 = 23.81%,84,85,100.0
