# Percentages of next-day outcomes conditional on earnings-day open move
Ticker,pos_then_up_pct,pos_then_down_pct,neg_then_up_pct,neg_then_down_pct,considered,total_earnings,sum_pct
CLX,17.86,28.57,30.95,22.62,84,86,100.0
BLK,40.0,60.0,0.0,0.0,5,5,100.0
CPRT,25.58,23.26,25.58,25.58,86,86,100.0
DXCM,29.49,19.23,24.36,26.92,78,82,100.0
HD,23.26,31.4,23.26,22.09,86,90,100.01
RJF,36.21,20.69,20.69,22.41,58,60,100.0
NOW,41.51,28.3,16.98,13.21,53,54,100.0
FCX,29.55,25.0,17.05,28.41,88,89,100.01
WYNN,25.35,25.35,28.17,21.13,71,72,100.0
ESS,25.32,21.52,29.11,24.05,79,81,100.0
EPAM,23.64,34.55,23.64,18.18,55,55,100.01
KO,21.69,40.96,18.07,19.28,83,85,100.0
EXPE,31.25,26.25,15.0,27.5,80,81,100.0
VST,33.33,36.36,21.21,9.09,33,33,99.99
TKO,22.22,33.33,0.0,44.44,9,9,99.99
XYZ,20.51,33.33,25.64,20.51,39,39,99.99
LLY,26.25,26.25,20.0,27.5,80,86,100.0
ELV,22.5,25.0,22.5,30.0,80,84,100.0
CSX,25.3,33.73,19.28,21.69,83,85,100.0
GL,29.87,27.27,19.48,23.38,77,85,100.0
ICE,25.0,25.0,27.08,22.92,48,48,100.0
WELL,20.0,24.71,29.41,25.88,85,89,100.0
FTV,27.03,21.62,21.62,29.73,37,38,100.0
PHM,35.63,28.74,16.09,19.54,87,89,100.0
MTCH,24.05,31.65,26.58,17.72,79,84,100.0
EVRG,10.71,42.86,21.43,25.0,28,30,100.0
TXN,21.84,18.39,25.29,34.48,87,87,100.0
KKR,32.76,31.03,24.14,12.07,58,61,100.0
IEX,30.49,31.71,19.51,18.29,82,89,100.0
KMX,18.29,28.05,25.61,28.05,82,86,100.0
NTRS,18.07,36.14,19.28,26.51,83,85,100.0
MRK,17.28,33.33,24.69,24.69,81,85,99.99
VZ,40.0,24.0,16.0,20.0,75,79,100.0
TFC,22.97,31.08,22.97,22.97,74,76,99.99
CPB,13.41,25.61,36.59,24.39,82,88,100.0
TT,35.94,26.56,21.88,15.62,64,66,100.0
PM,34.78,20.29,34.78,10.14,69,71,99.99
FOX,29.63,40.74,11.11,18.52,27,27,100.0
GE,13.41,41.46,9.76,35.37,82,84,100.0
TROW,20.0,20.0,30.0,30.0,30,30,100.0
PAYC,34.78,32.61,10.87,21.74,46,47,100.0
AMGN,19.32,20.45,26.14,34.09,88,89,100.0
BRO,24.05,34.18,18.99,22.78,79,84,100.0
TRMB,42.35,18.82,20.0,18.82,85,86,99.99
VMC,19.12,35.29,23.53,22.06,68,69,100.0
NEE,18.06,27.78,23.61,30.56,72,73,100.01
IBM,30.67,8.0,26.67,34.67,75,76,100.01
BSX,25.61,36.59,17.07,20.73,82,86,100.0
LIN,41.67,25.0,16.67,16.67,24,26,100.01
ED,24.32,27.03,29.73,18.92,74,79,100.0
T,21.57,25.49,23.53,29.41,51,56,100.0
MMM,23.86,35.23,19.32,21.59,88,89,100.0
BALL,28.05,31.71,15.85,24.39,82,85,100.0
KR,27.27,24.68,23.38,24.68,77,85,100.01
WY,29.33,20.0,16.0,34.67,75,82,100.0
COP,28.92,27.71,19.28,24.1,83,85,100.01
SBUX,28.41,18.18,36.36,17.05,88,89,100.0
BMY,21.25,40.0,22.5,16.25,80,84,100.0
DVN,20.48,28.92,16.87,33.73,83,85,100.0
GD,27.71,26.51,20.48,25.3,83,86,100.0
GOOG,10.0,47.5,15.0,27.5,40,41,100.0
MAS,32.1,22.22,23.46,22.22,81,84,100.0
NDAQ,26.51,36.14,20.48,16.87,83,85,100.0
PAYX,27.91,18.6,24.42,29.07,86,89,100.0
MDLZ,25.68,32.43,21.62,20.27,74,75,100.0
BKR,27.27,18.18,18.18,36.36,33,34,99.99
MGM,23.38,22.08,23.38,31.17,77,78,100.01
WAT,25.93,30.86,14.81,28.4,81,85,100.0
CMG,35.06,11.69,18.18,35.06,77,78,99.99
ANET,32.61,15.22,30.43,21.74,46,46,100.0
GS,24.14,25.86,29.31,20.69,58,58,100.0
AVB,23.26,29.07,27.91,19.77,86,88,100.01
MOS,25.35,26.76,26.76,21.13,71,73,100.0
GIS,28.92,30.12,22.89,18.07,83,85,100.0
FAST,23.75,35.0,25.0,16.25,80,85,100.0
LNT,17.95,35.9,25.64,20.51,78,84,100.0
PRU,25.32,17.72,31.65,25.32,79,80,100.01
RTX,32.14,26.19,17.86,23.81,84,88,100.0
PSA,29.17,20.83,31.94,18.06,72,72,100.0
UDR,23.68,22.37,23.68,30.26,76,79,99.99
KIM,24.68,28.57,25.97,20.78,77,84,100.0
NEM,28.41,23.86,23.86,23.86,88,88,99.99
FICO,26.51,25.3,21.69,26.51,83,86,100.01
TRV,34.52,25.0,20.24,20.24,84,89,100.0
WMT,18.18,25.0,14.77,42.05,88,90,100.0
KLAC,26.19,16.67,30.95,26.19,84,84,100.0
PPG,23.81,35.71,17.86,22.62,84,85,100.0
TEL,27.54,30.43,20.29,21.74,69,74,100.0
CB,27.38,34.52,21.43,16.67,84,85,100.0
AMD,21.84,17.24,26.44,34.48,87,87,100.0
MDT,32.5,22.5,22.5,22.5,40,43,100.0
COR,19.72,42.25,19.72,18.31,71,74,100.0
PODD,29.17,27.78,25.0,18.06,72,73,100.01
EW,25.93,20.99,23.46,29.63,81,85,100.01
GPC,32.39,22.54,18.31,26.76,71,76,100.0
JKHY,28.57,23.81,23.81,23.81,84,85,100.0
CSCO,20.22,25.84,25.84,28.09,89,89,99.99
DVA,28.4,16.05,32.1,23.46,81,84,100.01
IR,32.35,17.65,17.65,32.35,34,34,100.0
AMZN,23.6,22.47,24.72,29.21,89,89,100.0
BK,29.58,30.99,26.76,12.68,71,74,100.01
DG,42.19,31.25,14.06,12.5,64,64,100.0
TXT,24.36,28.21,23.08,24.36,78,82,100.01
CBRE,18.52,28.4,20.99,32.1,81,85,100.01
AKAM,33.33,19.54,16.09,31.03,87,88,99.99
DAL,30.43,40.58,14.49,14.49,69,74,99.99
MSCI,43.06,20.83,18.06,18.06,72,72,100.01
MSFT,20.45,38.64,12.5,28.41,88,89,100.0
ATO,23.17,30.49,26.83,19.51,82,85,100.0
MELI,25.35,33.8,25.35,15.49,71,72,99.99
CRL,24.1,33.73,18.07,24.1,83,86,100.0
BLDR,25.0,36.84,21.05,17.11,76,82,100.0
SWK,18.07,24.1,22.89,34.94,83,85,100.0
RMD,32.14,29.76,15.48,22.62,84,85,100.0
HRL,30.0,20.0,21.25,28.75,80,85,100.0
VRSN,27.06,20.0,32.94,20.0,85,85,100.0
CMI,32.93,25.61,18.29,23.17,82,84,100.0
WRB,28.92,36.14,18.07,16.87,83,88,100.0
QCOM,21.18,23.53,24.71,30.59,85,85,100.01
UHS,27.78,22.22,26.39,23.61,72,73,100.0
SYK,25.58,25.58,22.09,26.74,86,87,99.99
GDDY,32.56,18.6,11.63,37.21,43,43,100.0
TSLA,16.67,26.67,33.33,23.33,60,60,100.0
HII,30.91,27.27,20.0,21.82,55,58,100.0
ALGN,23.46,29.63,27.16,19.75,81,81,100.0
PEG,27.85,25.32,24.05,22.78,79,83,100.0
DECK,32.47,25.97,20.78,20.78,77,77,100.0
LH,12.5,32.5,32.5,22.5,40,41,100.0
AFL,36.59,23.17,26.83,13.41,82,85,100.0
ROK,25.88,27.06,25.88,21.18,85,89,100.0
LULU,27.4,28.77,19.18,24.66,73,73,100.01
TTD,40.54,18.92,27.03,13.51,37,37,100.0
ZTS,20.83,41.67,27.08,10.42,48,51,100.0
BEN,28.92,21.69,24.1,25.3,83,86,100.01
ADBE,26.14,32.95,15.91,25.0,88,89,100.0
SNA,27.16,37.04,17.28,18.52,81,85,100.0
KHC,23.81,19.05,28.57,28.57,42,42,100.0
DE,25.3,21.69,31.33,21.69,83,84,100.01
CBOE,33.33,30.0,21.67,15.0,60,61,100.0
GEHC,27.27,27.27,18.18,27.27,11,12,99.99
ADI,23.6,25.84,22.47,28.09,89,89,100.0
FIS,24.69,34.57,17.28,23.46,81,85,100.0
OKE,26.67,37.78,13.33,22.22,45,45,100.0
ITW,30.38,37.97,18.99,12.66,79,81,100.0
CZR,21.95,39.02,26.83,12.2,41,42,100.0
DELL,32.43,10.81,21.62,35.14,37,37,100.0
AMP,36.71,24.05,16.46,22.78,79,80,100.0
OXY,25.93,24.69,19.75,29.63,81,83,100.0
PFG,26.25,23.75,26.25,23.75,80,89,100.0
AEP,30.86,24.69,24.69,19.75,81,84,99.99
CHTR,27.12,23.73,28.81,20.34,59,63,100.0
MSI,34.88,22.09,17.44,25.58,86,88,99.99
DOV,32.18,28.74,12.64,26.44,87,88,100.0
BKNG,16.87,38.55,24.1,20.48,83,85,100.0
DPZ,24.0,28.0,25.33,22.67,75,82,100.0
CHD,29.27,26.83,19.51,24.39,82,85,100.0
FITB,32.61,32.61,23.91,10.87,46,48,100.0
PCG,33.33,15.56,20.0,31.11,45,45,100.0
WBD,18.75,32.81,23.44,25.0,64,69,100.0
ZS,34.48,20.69,13.79,31.03,29,29,99.99
BBY,17.5,32.5,27.5,22.5,80,84,100.0
SWKS,26.74,22.09,22.09,29.07,86,88,99.99
EIX,28.57,25.0,22.62,23.81,84,86,100.0
LUV,31.76,24.71,14.12,29.41,85,89,100.0
MS,27.85,22.78,27.85,21.52,79,83,100.0
CTRA,27.38,30.95,19.05,22.62,84,85,100.0
TPL,25.0,25.0,30.0,20.0,20,20,100.0
DTE,21.15,28.85,32.69,17.31,52,53,100.0
GEV,50.0,33.33,16.67,0.0,6,6,100.0
AME,24.1,34.94,20.48,20.48,83,85,100.0
ROP,28.4,34.57,18.52,18.52,81,84,100.01
EL,22.62,21.43,28.57,27.38,84,84,100.0
LHX,32.14,29.76,15.48,22.62,84,86,100.0
JBL,34.83,23.6,17.98,23.6,89,89,100.01
TMO,31.25,30.0,20.0,18.75,80,84,100.0
CTVA,29.17,16.67,37.5,16.67,24,26,100.01
FE,27.85,26.58,13.92,31.65,79,83,100.0
MKC,20.27,32.43,25.68,21.62,74,78,100.0
COF,21.95,26.83,39.02,12.2,41,42,100.0
J,25.3,31.33,26.51,16.87,83,88,100.01
ADP,18.18,22.73,32.95,26.14,88,90,100.0
ACGL,25.0,41.67,16.67,16.67,84,85,100.01
DGX,25.3,32.53,20.48,21.69,83,84,100.0
EQIX,31.76,27.06,22.35,18.82,85,85,99.99
NFLX,32.94,21.18,12.94,32.94,85,85,100.0
DUK,21.31,24.59,19.67,34.43,61,65,100.0
STLD,27.63,39.47,19.74,13.16,76,77,100.0
V,24.64,23.19,27.54,24.64,69,71,100.01
SPGI,25.0,28.75,27.5,18.75,80,84,100.0
META,18.52,40.74,16.67,24.07,54,54,100.0
NCLH,25.0,30.77,9.62,34.62,52,52,100.01
ZBH,31.25,27.5,18.75,22.5,80,86,100.0
FFIV,27.06,30.59,31.76,10.59,85,85,100.0
RF,32.35,20.59,32.35,14.71,68,71,100.0
CRWD,32.0,32.0,20.0,16.0,25,25,100.0
BAC,26.92,21.79,21.79,29.49,78,81,99.99
SHOP,0.0,25.0,50.0,25.0,4,4,100.0
CCL,31.03,32.18,17.24,19.54,87,89,99.99
PLTR,38.1,23.81,4.76,33.33,21,21,100.0
AEE,20.73,32.93,23.17,23.17,82,87,100.0
GLW,28.4,22.22,29.63,19.75,81,85,100.0
AVGO,46.67,23.33,10.0,20.0,30,30,100.0
FSLR,32.43,16.22,17.57,33.78,74,74,100.0
INVH,20.59,17.65,38.24,23.53,34,35,100.01
GRMN,19.51,26.83,18.29,35.37,82,84,100.0
MAR,15.91,27.27,32.95,23.86,88,88,99.99
CMS,34.92,25.4,22.22,17.46,63,66,100.0
ABNB,30.0,10.0,40.0,20.0,20,20,100.0
NI,25.64,25.64,23.08,25.64,78,85,100.0
WDAY,27.45,15.69,33.33,23.53,51,52,100.0
MCHP,24.71,30.59,22.35,22.35,85,85,100.0
CVX,25.88,15.29,25.88,32.94,85,89,99.99
DIS,25.93,40.74,14.81,18.52,27,27,100.0
MPC,31.03,31.03,12.07,25.86,58,58,99.99
EXE,31.58,31.58,15.79,21.05,19,19,100.0
HPQ,30.12,21.69,21.69,26.51,83,84,100.01
IFF,28.24,18.82,23.53,29.41,85,88,100.0
MRNA,16.67,25.0,20.83,37.5,24,26,100.0
ACN,30.16,25.4,20.63,23.81,63,65,100.0
CCI,24.66,26.03,27.4,21.92,73,75,100.01
GEN,32.94,15.29,17.65,34.12,85,85,100.0
INTC,20.22,25.84,30.34,23.6,89,89,100.0
XEL,20.75,39.62,18.87,20.75,53,55,99.99
LII,35.8,24.69,18.52,20.99,81,85,100.0
DD,21.21,27.27,21.21,30.3,33,33,99.99
RVTY,25.3,25.3,27.71,21.69,83,89,100.0
SOLV,42.86,28.57,0.0,28.57,7,7,100.0
WEC,24.32,22.97,21.62,31.08,74,76,99.99
AES,34.15,26.83,15.85,23.17,82,84,100.0
NWSA,28.57,42.86,28.57,0.0,7,7,100.0
BR,28.57,21.43,25.71,24.29,70,73,100.0
EA,28.92,21.69,22.89,26.51,83,84,100.01
OMC,22.78,25.32,31.65,20.25,79,84,100.0
NOC,34.94,22.89,20.48,21.69,83,85,100.0
CVS,28.57,29.76,20.24,21.43,84,87,100.0
CNC,35.0,33.75,10.0,21.25,80,84,100.0
CSGP,32.53,18.07,25.3,24.1,83,86,100.0
EOG,26.19,30.95,14.29,28.57,84,84,100.0
HWM,41.67,19.44,13.89,25.0,36,36,100.0
ROL,37.14,30.0,20.0,12.86,70,70,100.0
WTW,28.05,15.85,30.49,25.61,82,85,100.0
MCO,25.3,28.92,21.69,24.1,83,85,100.01
TPR,24.05,17.72,29.11,29.11,79,84,99.99
HLT,17.39,26.09,28.26,28.26,46,48,100.0
CDNS,26.74,29.07,26.74,17.44,86,88,99.99
ADSK,25.93,27.16,23.46,23.46,81,84,100.01
KMB,29.11,22.78,21.52,26.58,79,84,99.99
ON,28.24,30.59,23.53,17.65,85,88,100.01
NTAP,21.59,18.18,43.18,17.05,88,88,100.0
SCHW,35.8,29.63,12.35,22.22,81,87,100.0
EFX,31.71,21.95,20.73,25.61,82,84,100.0
