entry_month,entry_date,strategy_forward_cagr_pct,sp500_forward_cagr_pct,diff_pp
2020-12,2020-12-17,20.533090448842728,12.061782176850366,8.471308271992362
2021-01,2021-01-11,21.212868502575553,11.70023952572219,9.512628976853364
2021-02,2021-02-02,20.70430386590314,11.690500417240912,9.013803448662227
2021-03,2021-03-16,23.56033046697188,11.0294702570908,12.53086020988108
2021-04,2021-04-19,23.956157271105695,9.835653032591551,14.120504238514144
2021-05,2021-05-04,22.295590427896528,9.942257031056823,12.353333396839705
2021-06,2021-06-17,20.14208371098021,9.872544380559267,10.269539330420942
2021-07,2021-07-19,21.468091614289662,9.859998408041793,11.608093206247869
2021-08,2021-08-02,22.199762480293938,9.012532252070926,13.187230228223012
2021-09,2021-09-29,24.3901658111634,9.693049416216049,14.69711639494735
2021-10,2021-10-19,24.74263141526647,8.623325624777834,16.119305790488635
2021-11,2021-11-02,25.460658955271942,7.8928668490116705,17.56779210626027
2021-12,2021-12-16,26.941014486612723,7.927851486638726,19.013162999973996
2022-01,2022-01-12,29.668537224493875,7.68375351046211,21.984783714031764
2022-02,2022-02-01,34.71383099760441,9.298957010355213,25.414873987249198
2022-03,2022-03-01,35.94024087226537,11.710035530179974,24.230205342085398
2022-04,2022-04-18,34.34645644479302,11.49715886036693,22.84929758442609
2022-05,2022-05-02,29.528511876089404,14.046523497210138,15.481988378879265
2022-06,2022-06-16,29.737796121897198,20.6560005034506,9.081795618446598
2022-07,2022-07-18,30.680532003679527,19.30146706710474,11.379064936574789
2022-08,2022-08-01,33.41570753943876,16.057278756922443,17.35842878251632
2022-09,2022-09-27,39.86979998660634,23.85677646227231,16.013023524334027
2022-10,2022-10-18,41.230540772187176,23.432961428875167,17.79757934331201
2022-11,2022-11-01,47.570585129263506,21.82854390068907,25.742041228574436
2022-12,2022-12-15,49.21134913379939,22.65309753581981,26.558251597979577
2023-01,2023-01-11,50.96427498319618,22.419660167729294,28.544614815466883
2023-02,2023-02-01,41.15056996184887,20.777587633257898,20.372982328590975
2023-03,2023-03-16,29.516110572996546,25.07652492405137,4.439585648945176
2023-04,2023-04-18,30.33300004983377,23.015416807164215,7.317583242669556
2023-05,2023-05-01,29.08080387825247,23.335586711226664,5.745217167025807
2023-06,2023-06-15,32.60008450519947,20.57473822365834,12.025346281541129
2023-07,2023-07-19,33.66349783484803,19.415616830514093,14.247881004333937
2023-08,2023-08-01,37.07875443439919,19.753530882669047,17.32522355173014
2023-09,2023-09-28,42.01297223005067,29.00434541809911,13.008626811951562
2023-10,2023-10-18,45.27291143102317,30.16665707749635,15.106254353526818
2023-11,2023-11-01,60.86562157000921,33.43627756790271,27.429344002106504
2023-12,2023-12-14,70.16231155052657,24.07349413210258,46.088817418423986
2024-01,2024-01-09,68.65584276551462,25.07291545052681,43.58292731498781
2024-02,2024-02-01,27.371130972446057,22.691148338556722,4.679982633889335
2024-03,2024-03-15,26.601203012473285,19.821593022229678,6.779609990243607
2024-04,2024-04-18,33.46993476804594,26.789400122295426,6.680534645750512
2024-05,2024-05-01,22.585571702973084,28.200180898026982,-5.614609195053898
2024-06,2024-06-20,8.470069085719146,15.25681004050985,-6.786740954790703
2024-07,2024-07-18,13.988885224100134,14.68603751857267,-0.6971522944725361
2024-08,2024-08-01,0.6640895290375148,21.85305716018422,-21.188967631146706
